,word,count
261,अलबत्ता,4
262,अलसेट,30
263,अलाभ,3
264,अलावा,1
265,अलि,4
266,अलेख,16
267,अलेखा,16
268,अलोक,2
269,अल्हड़,4
270,अवच्छेदन,9
271,अवधारित,4
272,अवधृत,4
273,अवनति,6
274,अवपतन,3
275,अवपात,6
276,अवभासिनी,17
277,अवरोह,3
278,अवलेप,15
279,अवलेपन,9
280,अवश्य,5
281,अवश्यंभावी,1
282,अवश्यमेव,4
283,अवश्यम्भावी,1
284,अवश्याय,9
285,अवष्टंभ,14
286,अवष्टम्भ,14
287,अवसि,4
288,अवसित,9
289,अवसेर,33
290,अवस्तु,8
291,अवाय,1
292,अवार,4
293,अवारण,2
294,अवारणीय,1
295,अवारी,7
296,अवार्य,1
297,अविकल्प,5
298,अविच्छिन्न,4
299,अवितर्किक,4
300,अविदग्ध,2
301,अविरत,4
302,अविश्रांत,4
303,अविश्रान्त,4
304,अवेद्य,17
305,अवेर,28
306,अव्यस्त,1
307,अव्याघात,1
308,अव्यापार,1
309,अव्युत्पन्न,2
310,अशृत,2
311,अश्रांत,1
312,असंदेह,4
313,असन्देह,4
314,असंशय,4
315,असु,10
316,अस्पताल,2
317,अस्वातंत्र्य,1
318,अस्वातन्त्र्य,1
319,अहं,12
320,अहंकार,9
321,अहंकृति,9
322,अहङ्कार,9
323,अहङ्कृति,9
324,अहंता,9
325,अहमिति,9
326,अहमेव,9
327,अहम्मति,9
328,आईन,11
329,आगाही,1
330,आजिजी,4
331,आजिज़ी,4
332,आटोप,9
333,आत्मज,6
334,आत्मजात,6
335,आत्मनीन,5
336,आत्मप्रभव,5
337,आत्मभू,8
338,आत्मसंभव,5
339,आत्मसमुद्भव,8
340,आत्मसम्भव,5
341,आत्मोद्भव,5
342,आंदोलन,8
343,आन,12
344,आन्दोलन,8
345,आफिस,6
346,आम,7
347,आमूलचूल,3
348,आरोगिता,3
349,आरोग्यभवन,2
350,आरोग्यशाला,2
351,आलि,8
352,आली,6
353,आवटना,5
354,आवरण,3
355,आसना,47
356,इकंक,4
357,इकसूत,4
358,इंगन,7
359,इङ्गन,7
360,इत्तला,1
361,इत्तिला,1
362,इफतरा,2
363,इफ़तरा,2
364,इफ्तरा,2
365,इफ़्तरा,2
366,इफ्तिरा,2
367,इफ़्तिरा,2
368,इब्न,5
369,इमदाद,2
370,इम्दाद,2
371,इल्म,8
372,ईठि,11
373,उँकारी,2
374,उतार,3
375,उत्तरदायक,2
376,उत्तरदायी,2
377,एकदम,5
378,एकमेव,5
379,एडमिशन,1
380,ऐंठ,9
381,ऐंठन,9
382,ऐन,7
383,ऑफिस,6
384,कगार,11
385,कच्चा,2
386,कच्चे,2
387,कज,11
388,कतई,3
389,कत्तई,3
390,कदापि,3
391,कभी,3
392,कमजोर,2
393,कमज़ोर,2
394,कमी,5
395,करीना,11
396,क़रीना,11
397,कलंक,2
398,कलौंछ,2
399,कलौंस,2
400,कल्क,9
401,कसर,5
402,काचा,2
403,काँचा,2
404,कानून,4
405,क़ानून,4
406,कानूनों,1
407,कायदा,21
408,क़ायदा,21
409,कायम,7
410,कार्यशैली,11
411,कार्यालय,6
412,कालांतर,2
413,कालिमा,2
414,किशोर,5
415,कुँअर,1
416,कुंचित,2
417,कुढ़ना,4
418,कुमक,2
419,कुमार,5
420,कुँवर,5
421,कुंवर,5
422,कूल,4
423,केतु,13
424,केवल,5
425,कोमलता,5
426,कोमलताई,2
427,कौतुक,7
428,क्रमागत,8
429,क्लिनिक,2
430,क्लीनिक,2
431,क्षति,4
432,खबर,7
433,ख़बर,7
434,खलबल,5
435,खलबली,5
436,खाक,1
437,ख़ाक,1
438,खाल,17
439,खाली,5
440,ख़ाली,5
441,खिजना,4
442,खिजलाना,4
443,खिझना,4
444,खिसियाना,5
445,खीजना,4
446,खीझना,4
447,खुदी,9
448,ख़ुदी,9
449,खोद,1
450,खोल,1
451,खोलकर,1
452,खोली,3
453,गडंग,9
454,गरिमापूर्ण,1
455,गरिमायुक्त,1
456,गरूर,9
457,ग़रूर,9
458,गर्द,1
459,गर्व,12
460,गारो,9
461,गिराव,3
462,गिरावट,3
463,गिलाफ,1
464,ग़िलाफ़,1
465,गुमान,9
466,गुरूर,9
467,ग़ुरूर,9
468,ग़ुलामी,1
469,गौरवपूर्ण,1
470,गौरवयुक्त,1
471,गौरवशाली,1
472,गौरवान्वित,5
473,घटती,3
474,घटाव,3
475,घटौती,3
476,घमंड,9
477,घमण्ड,9
478,घाटा,3
479,घुमावदार,2
480,चटकन,3
481,चन्द,1
482,चपत,3
483,चपेट,3
484,चपेटा,3
485,चमड़ा,17
486,चमड़ी,17
487,चरका,5
488,चर्म,17
489,चलते,3
490,चाँटा,3
491,चिकित्सालय,2
492,चित,5
493,चित्त,5
494,चिन्तनशील,2
495,चिर,28
496,चिरंजी,5
497,चिरंजीव,9
498,छाती,5
499,छीज,3
500,छोर,6
501,जद,11
502,जरूर,4
503,जर्ण,47
504,जवाबदेह,2
505,जवाँमर्द,1
506,जवांमर्द,1
507,जहन,13
508,ज़हन,13
509,जाड़ा,1
510,जात,21
511,जानकारी,4
512,जाया,5
513,जिम्मादार,2
514,जिम्मेदार,2
515,ज़िम्मेदार,2
516,जिम्मेवार,2
517,ज़िम्मेवार,2
518,जिहन,13
519,ज़िहन,13
520,जी,5
521,जुकाम,1
522,ज़ुकाम,1
523,जेहन,13
524,ज़ेहन,13
525,ज्ञान,10
526,ज्ञानातीत,16
527,ज्ञापन,1
528,झापड़,3
529,झाँपड़,3
530,झिलम,1
531,झुँझला,4
532,झुँझलाना,4
533,टान,3
534,टूट,3
535,टूटना,2
536,टूटने,1
537,टेक्निकल,3
538,टेढ़ा,9
539,टेंशन,1
540,टोटा,3
541,ठंड,1
542,ठंडक,1
543,ठंडी,1
544,ठंढ,1
545,ठंढक,1
546,ठंढी,1
547,ठन्ड,1
548,ठसक,9
549,ठहराया,1
550,ठीक,10
551,ढंग,11
552,ढब,42
553,ढर्रा,11
554,त,1
555,तकनीकी,3
556,तकसीम,10
557,तक़सीम,10
558,तक्सीम,10
559,तट,4
560,तड़ी,3
561,तंदरुस्ती,3
562,तनय,5
563,तनाव,3
564,तनुज,5
565,तनुभव,5
566,तनुरुह,5
567,तनू,12
568,तनूज,5
569,तनूद्भव,5
570,तनूरुह,6
571,तने,1
572,तनोज,5
573,तनौज,5
574,तबियत,6
575,तबीयत,6
576,तमाचा,3
577,तय,4
578,तयशुदा,1
579,तरीका,24
580,तरीक़ा,24
581,तरु,47
582,तरुवर,47
583,तर्ज,21
584,तान,4
585,ताबदार,2
586,तीर,4
587,तुषारकाल,1
588,तौर,11
589,त्यौहार,1
590,त्वचा,17
591,थपेड़ा,4
592,थप्पड़,3
593,दफ़्तर,6
594,दंभ,9
595,दम्भ,9
596,दरख्त,47
597,दरख़्त,47
598,दर्प,9
599,दवाखाना,2
600,दवाख़ाना,2
601,दाग,2
602,दाग़,2
603,दागने,1
604,दादा,2
605,दाप,17
606,दायदवत्,5
607,दासता,1
608,दासत्व,1
609,दास्य,1
610,दिल,7
611,दिलावर,2
612,देर,30
613,देरी,28
614,दोहर,1
615,द्रुम,47
616,धब्बा,2
617,नख्ल,49
618,नजला,1
619,नज़ला,1
620,नंदन,5
621,नन्दन,5
622,नम्रता,4
623,नया,7
624,नरमाई,5
625,नरमाहट,5
626,नरमी,7
627,नरमीयत,2
628,नरवीर,1
629,नर्माहट,5
630,नर्मी,7
631,नवसिखा,3
632,नवसिखुआ,3
633,नाजुक,5
634,नाज़ुक,5
635,नामजदगी,1
636,नामज़दगी,1
637,नामांकन,1
638,नामाङ्कन,1
639,निगोड़ा,2
640,नितांत,3
641,नितान्त,3
642,निदानगृह,2
643,निदानिका,2
644,निपट,7
645,निपटा,1
646,नियमित,4
647,नियोजित,1
648,निर्णित,1
649,निर्णीत,1
650,निर्दिष्ट,4
651,निर्धारित,4
652,निर्मोक,21
653,निशान,8
654,निश्चित,4
655,निश्चिततः,4
656,निसंदेह,4
657,निःसंदेह,4
658,निसन्देह,4
659,निःसन्देह,4
660,निस्संदेह,4
661,निस्सन्देह,4
662,नीमटर,2
663,नुकसान,4
664,नुक़सान,4
665,नृपात्मज,1
666,नोटिस,1
667,नौसिख,2
668,नौसिखिया,3
669,नौसिखुआ,3
670,न्यय,4
671,न्यू,7
672,न्यूनता,4
673,पंजीयन,1
674,पञ्जीकरण,1
675,पञ्जीयन,1
676,पता,8
677,पदच्युत,3
678,पद्धति,30
679,परतंत्रता,1
680,पराधीनता,1
681,पर्व,5
682,पर्वरीण,9
683,पल्लवी,47
684,पश्ता,4
685,पादप,47
686,पालि,17
687,पित्र्य,2
688,पीछे,5
689,पीनस,3
690,पुत्र,5
691,पुलाकी,47
692,पूत,12
693,पूर्णतः,3
694,पूर्णतया,3
695,पूर्णरुपेण,3
696,पूर्वज,3
697,पेट,11
698,पेड़,47
699,प्रतिकुंचित,2
700,प्रतिकुञ्चित,2
701,प्रतिबंधक,47
702,प्रतिबन्धक,47
703,प्रयोजनतः,3
704,प्रवृत्त,8
705,प्रहाणि,5
706,प्रागल्भ्य,11
707,फरज़ंद,5
708,फरजंद,5
709,फरजन्द,5
710,फरज़न्द,5
711,फरजिंद,5
712,फरज़िंद,5
713,फरजिन्द,5
714,फरज़िन्द,5
715,फर्ज़ंद,5
716,फर्जंद,5
717,फर्ज़न्द,5
718,फर्जंन्द,5
719,फर्जिंद,5
720,फर्ज़िंद,5
721,फर्जिन्द,5
722,फर्ज़िन्द,5
723,फेस्टिवल,1
724,फ़ेस्टिवल,1
725,बंक,2
726,बंकट,2
727,बंगा,2
728,बच्चा,6
729,बँटवारा,21
730,बंटवारा,1
731,बँटाई,25
732,बदौलत,3
733,बरखास्त,3
734,बरख़ास्त,3
735,बरख्वास्त,3
736,बरख़्वास्त,3
737,बलखाता,2
738,बलवान,4
739,बस,5
740,बहादुर,2
741,बहाली,3
742,बाँकड़ा,2
743,बांकड़ा,2
744,बाँकुड़ा,2
745,बांकुड़ा,2
746,बारी,7
747,बाल,5
748,बालक,6
749,बाशिन्दा,4
750,बाहुबली,1
751,बिना,6
752,बिलकुल,6
753,बिलाशक,4
754,बिल्कुल,6
755,बीरो,47
756,बृहत्काय,1
757,बेटा,5
758,बेर,29
759,बेशक,4
760,बोधातीत,16
761,भइया,2
762,भंग,22
763,भङ्ग,22
764,भट,4
765,भर,11
766,भाई,2
767,भाईसाहब,2
768,भाजन,9
769,भारीभड़कम,1
770,भारीभरकम,1
771,भिज्ञता,1
772,भीमकाय,1
773,भूमिजात,47
774,भैया,2
775,मंजुल,8
776,मद,13
777,मदद,2
778,मंदी,1
779,मननशील,2
780,मनसा,24
781,मन्दी,1
782,मरायल,3
783,मर्द,4
784,महज़,5
785,महाकाय,1
786,माटी,1
787,मात्र,5
788,मान,12
789,मानस,7
790,मिट्टी,1
791,मुअत्तल,1
792,मुकर्रर,1
793,मुलायम,5
794,मुलायमियत,2
795,मृत्तिका,1
796,मृदा,1
797,मृदुलता,2
798,मोड़दार,2
799,मोड़ा,5
800,यकीनन,4
801,यक़ीनन,4
802,युगांतर,2
803,युगांतराल,2
804,युगान्तर,2
805,युगान्तराल,2
806,रणथंभोर,30
807,रणथम्भोर,30
808,रणथम्भौर,30
809,रधार,1
810,रविश,11
811,राजकुमार,1
812,राजकुँवर,1
813,राजपुत्र,1
814,राजपूत,1
815,राहत,2
816,रिक्त,1
817,रिता,1
818,रीता,1
819,रीति,15
820,रुक्ष,48
821,रुग्णालय,2
822,रूख,48
823,रूँख,47
824,रूखड़ा,47
825,रूखरा,47
826,रेष,3
827,लगातार,4
828,लचर,2
829,लड़का,5
830,लप्पड़,3
831,लफ्फड़,3
832,लांछन,2
833,लांछना,2
834,लाल,5
835,लेट,28
836,वंक,2
837,वकूफ,5
838,वकूफ़,5
839,वक्र,6
840,वटु,5
841,वटुक,5
842,वतीरा,14
843,वस्तुतः,7
844,वाकई,7
845,वाक़ई,7
846,वाम,7
847,वाशिन्दा,4
848,विकराल,1
849,विखंडन,9
850,विखण्डन,9
851,विजानता,1
852,विटप,47
853,विटपी,47
854,वितरण,18
855,विधा,21
856,विधि,24
857,विनम्रता,4
858,विनय,5
859,विनीति,4
860,विभाग,13
861,विभाजन,10
862,विलंब,28
863,विशालकाय,1
864,विसर्जित,3
865,वीर,3
866,वीर्यज,5
867,वृक्ष,47
868,वृहत्,1
869,वेदित्व,4
870,वेद्यत्व,4
871,वेला,9
872,व्याज,28
873,व्रीड़न,4
874,व्रीडा,4
875,व्रीड़ा,4
876,शफाखाना,2
877,शफ़ाख़ाना,2
878,शल्ल,18
879,शल्लक,17
880,शहजादा,1
881,शहज़ादा,1
882,शान,10
883,शाहजादा,1
884,शाहज़ादा,1
885,शिखरी,47
886,शिखी,56
887,शिरत्राण,1
888,शिरस्त्र,1
889,शिरस्त्राण,1
890,शिष्टि,3
891,शीत,1
892,शीतऋतु,1
893,शीतकाल,1
894,शून्य,15
895,शूर,2
896,शूरवीर,2
897,शेखी,9
898,शेख़ी,9
899,शेर,2
900,शैली,11
901,सखी,1
902,सचमुच,7
903,सत्यतः,7
904,संपूर्णतः,3
905,संपूर्णतया,3
906,सप्रयोजन,3
907,समाप्त,10
908,सरदी,1
909,सरासर,3
910,सर्दी,1
911,सहचरी,15
912,सहयोग,2
913,सहायता,2
914,सहेली,1
915,साखि,47
916,साखी,47
917,सातवाँ,1
918,साहिल,4
919,सिर्फ,5
920,सिर्फ़,5
921,सिवाय,1
922,सिंह,2
923,सुत,5
924,सूचना,1
925,सूत,16
926,सूरमा,3
927,सेहत,3
928,स्कंधी,47
929,स्कन्धी,47
930,स्किन,17
931,स्ट्रेस,1
932,स्नेह,9
933,स्वास्थ्य,3
934,हकीकतन,7
935,हक़ीक़तन,7
936,हमजोली,3
937,हरकत,6
938,हरगिज,3
939,हरजा,3
940,हरज़ा,3
941,हर्जा,3
942,हर्ज़ा,3
943,हलचल,5
944,हस्पताल,2
945,हानि,4
946,हास्पिटल,2
947,हिस्सा,18
948,हेमऋतु,1
949,हेली,1
950,हॉस्पिटल,2
951,अली,8
952,अविगत,16
953,अश्रान्त,1
954,असिद्ध,5
955,आक्षेप,4
956,उक्ष,1
957,उथलपुथल,5
958,कालान्तर,2
959,किनारा,6
960,खिसिआना,5
961,गुलामी,1
962,गौरवमय,1
963,चंद,1
964,चाम,17
965,चिंतनशील,2
966,ज़द,7
967,ज़रूर,4
968,ज़िम्मादार,2
969,टेन्शन,1
970,तक़्सीम,10
971,त्योहार,1
972,दफ्तर,6
973,दरअसल,7
974,नख़्ल,49
975,निकाह,2
976,नियत,17
977,पंजीकरण,1
978,पीछू,5
979,प्रतीति,14
980,प्राविधिक,3
981,बंकिम,2
982,बदनसीब,2
983,बर्खास्त,3
984,बिही,3
985,मगरूरी,9
986,मन,13
987,महज,5
988,मूलतः,2
989,मृदुता,2
990,रणथंभौर,30
991,राजकुंवर,1
992,रीत,11
993,वल्लि,1
994,विधान,4
995,विलम्ब,28
996,शिकरत,2
997,शिरत्रान,1
998,सातवीं,1
999,सिवा,1
1000,सिंहकर्मा,1
1001,हरगिज़,3
1002,हाथ,4
1003,अकेला,36
1004,अगुआ,13
1005,अगुआई,1
1006,अगुवा,7
1007,अगुवाई,1
1008,अजूह,2
1009,अजोड़,37
1010,अंझा,3
1011,अंत,18
1012,अतुलनीय,38
1013,अतुलित,36
1014,अद्रि,5
1015,अद्वितीय,36
1016,अद्वैत,36
1017,अधिनाथ,2
1018,अधिनायक,2
1019,अधिष्ठाता,5
1020,अध्वग,1
1021,अनध्याय,3
1022,अनन्यसाधारण,36
1023,अनीक,3
1024,अनीश,5
1025,अनु,10
1026,अनुग,2
1027,अनुचर,2
1028,अनुचारक,2
1029,अनुचारी,2
1030,अनुज्ञा,2
1031,अनुत्तम,36
1032,अनुपम,36
1033,अनुपमा,36
1034,अनुपमित,36
1035,अनुपमेय,36
1036,अनुबंध,26
1037,अनुबन्ध,26
1038,अनुमति,1
1039,अनुयायी,3
1040,अनुरक्ति,2
1041,अनुरति,2
1042,अनुराग,3
1043,अनुव्रजन,1
1044,अनुशय,6
1045,अनुसार,21
1046,अनुहरिया,5
1047,अनुहार,5
1048,अनूप,37
1049,अनेकता,50
1050,अनेकत्व,50
1051,अनेहा,5
1052,अनोखा,37
1053,अन्त,18
1054,अपदेश,20
1055,अपरा,3
1056,अपराजिता,1
1057,अपर्णा,1
1058,अपूर्व,37
1059,अपेक्षिता,10
1060,अप्रतिम,36
1061,अप्रतिमान,36
1062,अप्रतिरूप,36
1063,अप्रतुल,38
1064,अंबा,2
1065,अंबुजासना,1
1066,अब्जवाहना,1
1067,अब्जा,1
1068,अब्धिज,1
1069,अब्धिजा,1
1070,अभव,2
1071,अभिकांक्षा,10
1072,अभिकाम,10
1073,अभिख्या,4
1074,अभिख्यान,4
1075,अभिचर,2
1076,अभिजन,7
1077,अभिध्या,10
1078,अभिप्रीति,10
1079,अभिमत,16
1080,अभिमतता,10
1081,अभिरति,2
1082,अभिरमण,2
1083,अभिरुचि,8
1084,अभिलाख,10
1085,अभिलाखना,10
1086,अभिलाखा,10
1087,अभिलाष,10
1088,अभिलाषा,10
1089,अभिलास,10
1090,अभिलासा,10
1091,अभिसर,3
1092,अभिसारी,2
1093,अभीप्सा,10
1094,अभीष्टता,2
1095,अभीष्टा,14
1096,अभूत,36
1097,अभेड़ा,2
1098,अभेरा,3
1099,अभ्यनुज्ञा,1
1100,अभ्यागम,5
1101,अम,3
1102,अमनि,2
1103,अमल,19
1104,अमला,1
1105,अमस,6
1106,अमृतमालिनी,1
1107,अम्बा,2
1108,अम्बुजासना,1
1109,अम्मा,2
1110,अम्माँ,2
1111,अम्मां,2
1112,अम्मीं,2
1113,अयोग,8
1114,अरमान,10
1115,अरिष्ट,8
1116,अर्थी,2
1117,अर्द्धांगिनी,14
1118,अर्द्धाङ्गिनी,14
1119,अर्धांगिनी,14
1120,अर्धाङ्गिनी,14
1121,अर्वण,8
1122,अर्सा,5
1123,अलफ,5
1124,अलबेला,37
1125,अलहन,5
1126,अलार,4
1127,अल्ला,2
1128,अवकाश,7
1129,अवकृष्ट,2
1130,अवक्रय,2
1131,अवतरणिका,8
1132,अवतरणी,8
1133,अवन,3
1134,अवराधक,2
1135,अवली,7
1136,अवलोभन,10
1137,अवसर,6
1138,अवस्था,9
1139,अवस्थान,7
1140,अवस्थापन,7
1141,अविक्रांत,36
1142,अविक्रान्त,36
1143,अविद्या,1
1144,अविमुक्त,1
1145,अविरोधी,5
1146,अश्म,8
1147,अष्टभुजा,1
1148,असाधारण,36
1149,असामी,3
1150,अस्मिता,10
1151,अहक,10
1152,अहमियत,1
1153,अहवाल,7
1154,अहि,3
1155,आकांक्षा,11
1156,आकार,5
1157,आकारीठ,2
1158,आकाश,8
1159,आकृति,5
1160,आख्या,7
1161,आख्याति,4
1162,आघ,1
1163,आघु,1
1164,आजि,2
1165,आज्ञापालक,2
1166,आदमी,7
1167,आदर,12
1168,आदिशक्ति,1
1169,आद्या,1
1170,आँध,7
1171,आनबान,9
1172,आपत्,6
1173,आपत्ति,5
1174,आपद,6
1175,आपदा,5
1176,आपद्,6
1177,आफत,9
1178,आफ़त,9
1179,आबरू,9
1180,आयोधन,2
1181,आरजू,10
1182,आरज़ू,10
1183,आर्या,1
1184,आलम,10
1185,आलोचक,3
1186,आवली,11
1187,आशय,22
1188,आशंसा,18
1189,आश्रित,4
1190,आसक्ति,2
1191,आसंग,13
1192,आसङ्ग,13
1193,आसंजन,6
1194,आसञ्जन,6
1195,आसेब,7
1196,आस्थापन,4
1197,आहर,7
1198,आहव,4
1199,इकेला,36
1200,इकौना,36
1201,इक्का,37
1202,इच्छता,10
1203,इच्छत्व,10
1204,इच्छा,16
1205,इजाजत,2
1206,इजाज़त,2
1207,इज्जत,12
1208,इज़्ज़त,12
1209,इठाई,10
1210,इड़ा,15
1211,इतिकर्तव्यता,6
1212,इत्वर,6
1213,इंदिरा,6
1214,इंद्रजाल,4
1215,इंद्राणी,1
1216,इन्दिरा,6
1217,इन्द्रजाल,4
1218,इन्द्राणी,1
1219,इफ्तखार,9
1220,इफ़्तख़ार,9
1221,इफ्तिखार,9
1222,इफ़्तिख़ार,9
1223,इयारा,2
1224,इलाज,18
1225,इशतराक,2
1226,इशतिराक,2
1227,इश्तयाक,10
1228,इश्तयाक़,10
1229,इश्तराक,2
1230,इश्तियाक,10
1231,इश्तियाक़,10
1232,इश्तिराक,2
1233,इष्ट,17
1234,इष्टि,15
1235,ई,1
1236,ईं,1
1237,ईक्षक,3
1238,ईछा,10
1239,ईठ,2
1240,ईप्सा,10
1241,ईशा,5
1242,ईशानी,1
1243,ईश्वरा,1
1244,ईश्वरी,1
1245,ईसानी,1
1246,ईहा,16
1247,उकासी,3
1248,उग्रा,1
1249,उछीर,4
1250,उपमारहित,36
1251,उपाय,18
1252,एकल,36
1253,औद्योगिक,9
1254,औसर,5
1255,कंकेल,2
1256,कँगनी,13
1257,कंगनी,13
1258,कट,1
1259,कटेगरी,10
1260,कतार,5
1261,क़तार,5
1262,कदम,22
1263,क़दम,22
1264,कंदल,2
1265,कमर्शल,5
1266,कमर्शियल,5
1267,कमला,4
1268,कयामत,6
1269,क़यामत,6
1270,करवर,5
1271,कर्णपटी,1
1272,कलत्र,14
1273,कल्याणी,1
1274,कहर,13
1275,काँक,13
1276,कांता,14
1277,कान्ता,14
1278,कामना,10
1279,कारोबारी,6
1280,कार्यकर्ता,4
1281,कार्यकर्त्ता,4
1282,कार्यावकाश,3
1283,काल,10
1284,कालदमनी,1
1285,कीमत,1
1286,क़ीमत,1
1287,कीर्ति,4
1288,कुर्री,2
1289,केशवप्रिया,1
1290,कैटिगरी,10
1291,कोटि,8
1292,कौशिकी,1
1293,क्रिया,21
1294,क्लासिकीय,7
1295,क्षण,4
1296,क्षुधा,10
1297,खतरा,4
1298,ख़तरा,3
1299,खादिम,2
1300,ख़ादिम,2
1301,खाना,11
1302,ख़ाना,8
1303,खाब,4
1304,खेढ़ा,3
1305,ख्याति,4
1306,ख्वाजा,2
1307,ख़्वाजा,2
1308,ख्वाहिश,10
1309,ख़्वाहिश,10
1310,गजब,15
1311,गज़ब,15
1312,ग़ज़ब,15
1313,गठन,3
1314,गंडमंडल,1
1315,गंडस्थल,1
1316,गण,4
1317,गण्डमण्डल,1
1318,गण्डस्थल,1
1319,गत,10
