,pid,word,simplicity,complexity
94,eicwgihgtp1,अनतपा,3,1
95,eicwgihgtp1,अनंतर,4,0
96,eicwgihgtp1,अनंतरित,3,1
97,eicwgihgtp1,अनति,3,1
98,eicwgihgtp1,अनन्तर,3,1
99,eicwgihgtp1,अनन्तरित,2,1
100,eicwgihgtp1,अनपका,3,1
101,eicwgihgtp1,अनभिज्ञ,2,1
102,eicwgihgtp1,अनभ्यस्त,2,1
103,eicwgihgtp1,अनवरत,3,1
104,eicwgihgtp1,अनसीझा,3,1
105,eicwgihgtp1,अनिवार्य,5,0
106,eicwgihgtp1,अनुनीति,3,1
107,eicwgihgtp1,अनुभवरहित,4,0
108,eicwgihgtp1,अनुभवहीन,3,1
109,eicwgihgtp1,अनुरागना,3,1
110,eicwgihgtp1,अनोकह,2,1
111,eicwgihgtp1,अन्तःकरण,3,1
112,eicwgihgtp1,अन्तर,5,0
113,eicwgihgtp1,अन्तस्,2,1
114,eicwgihgtp1,अपकर्ष,2,1
115,eicwgihgtp1,अपकर्षण,2,1
116,eicwgihgtp1,अपक्व,2,1
117,eicwgihgtp1,अपदस्थ,2,1
118,eicwgihgtp1,अपभ्रंश,2,1
119,eicwgihgtp1,अपयश,2,1
120,eicwgihgtp1,अपरिणत,3,1
121,eicwgihgtp1,अपरिपक्व,2,1
122,eicwgihgtp1,अपवाद,4,0
123,eicwgihgtp1,अपह्रास,2,1
124,eicwgihgtp1,अपह्रास,1,1
125,eicwgihgtp1,अबाध्य,3,1
126,eicwgihgtp1,अबार,3,1
127,eicwgihgtp1,अबेर,3,1
128,eicwgihgtp1,अभरम,3,1
129,eicwgihgtp1,अभागा,3,1
130,eicwgihgtp1,अभागे,3,1
131,eicwgihgtp1,अभिज्ञता,2,1
132,eicwgihgtp1,अभिमति,3,1
133,eicwgihgtp1,अभिमान,4,0
134,eicwgihgtp1,अमंद,3,1
135,eicwgihgtp1,अमन्द,2,1
136,eicwgihgtp1,अमरूत,2,1
138,eicwgihgtp1,अमरूद,2,1
139,eicwgihgtp1,अमिट,3,1
140,eicwgihgtp1,अमुक्ति,4,0
141,eicwgihgtp1,अमेय,4,0
142,eicwgihgtp1,अमेव,3,1
143,eicwgihgtp1,अयानत,3,1
144,eicwgihgtp1,अरोगिता,2,1
145,eicwgihgtp1,अरोग्यता,4,0
146,eicwgihgtp1,अर्क,3,1
147,eicwgihgtp1,अर्घपतन,2,1
148,eicwgihgtp1,अर्धशिक्षित,1,1
149,eicwgihgtp1,अलबत्ता,3,1
150,eicwgihgtp1,अलसेट,2,1
151,eicwgihgtp1,अलाभ,3,1
152,eicwgihgtp1,अलावा,3,1
153,eicwgihgtp1,अलि,3,1
154,eicwgihgtp1,अलेख,3,1
155,eicwgihgtp1,अलेखा,3,1
156,eicwgihgtp1,अलोक,4,0
157,eicwgihgtp1,अल्हड़,2,1
158,eicwgihgtp1,अवच्छेदन,2,1
159,eicwgihgtp1,अवधारित,3,1
160,eicwgihgtp1,अवधृत,3,1
161,eicwgihgtp1,अवनति,4,0
162,eicwgihgtp1,अवपतन,3,1
163,eicwgihgtp1,अवपात,3,1
164,eicwgihgtp1,अवभासिनी,2,1
165,eicwgihgtp1,अवरोह,3,1
166,eicwgihgtp1,अवलेप,3,1
167,eicwgihgtp1,अवलेपन,3,1
168,eicwgihgtp1,अवश्य,5,0
169,eicwgihgtp1,अवश्यंभावी,2,1
170,eicwgihgtp1,अवश्यमेव,3,1
171,eicwgihgtp1,अवश्यम्भावी,1,1
172,eicwgihgtp1,अवश्याय,2,1
173,eicwgihgtp1,अवष्टंभ,2,1
174,eicwgihgtp1,अवष्टम्भ,1,1
175,eicwgihgtp1,अवसि,3,1
176,eicwgihgtp1,अवसित,3,1
177,eicwgihgtp1,अवसेर,3,1
178,eicwgihgtp1,अवस्तु,3,1
179,eicwgihgtp1,अवाय,3,1
180,eicwgihgtp1,अवार,3,1
181,eicwgihgtp1,अवारण,4,0
182,eicwgihgtp1,अवारणीय,3,1
183,eicwgihgtp1,अवारी,3,1
184,eicwgihgtp1,अवार्य,3,1
185,eicwgihgtp1,अविकल्प,4,0
186,eicwgihgtp1,अविच्छिन्न,1,1
187,eicwgihgtp1,अवितर्किक,2,1
188,eicwgihgtp1,अविदग्ध,3,1
189,eicwgihgtp1,अविरत,3,1
190,eicwgihgtp1,अविश्रांत,2,1
191,eicwgihgtp1,अविश्रान्त,1,1
192,eicwgihgtp1,अवेद्य,3,1
193,eicwgihgtp1,अवेर,3,1
194,eicwgihgtp1,अव्यस्त,2,1
195,eicwgihgtp1,अव्याघात,2,1
196,eicwgihgtp1,अव्यापार,3,1
197,eicwgihgtp1,अव्युत्पन्न,1,1
198,eicwgihgtp1,अशृत,2,1
199,eicwgihgtp1,अश्रांत,2,1
200,eicwgihgtp1,असंदेह,4,0
201,eicwgihgtp1,असन्देह,4,0
203,eicwgihgtp1,असंशय,3,1
204,eicwgihgtp1,असु,3,1
205,eicwgihgtp1,अस्पताल,2,1
206,eicwgihgtp1,अस्वातंत्र्य,1,1
207,eicwgihgtp1,अस्वातन्त्र्य,1,1
208,eicwgihgtp1,अहं,4,0
209,eicwgihgtp1,अहंकार,5,0
210,eicwgihgtp1,अहंकृति,2,1
211,eicwgihgtp1,अहङ्कार,2,1
212,eicwgihgtp1,अहङ्कृति,1,1
213,eicwgihgtp1,अहंता,3,1
214,eicwgihgtp1,अहमिति,3,1
215,eicwgihgtp1,अहमेव,3,1
216,eicwgihgtp1,अहम्मति,2,1
217,eicwgihgtp1,आईन,3,1
218,eicwgihgtp1,आगाही,3,1
219,eicwgihgtp1,आजिजी,2,1
220,eicwgihgtp1,आजिज़ी,2,1
221,eicwgihgtp1,आटोप,3,1
224,eicwgihgtp1,आत्मज,3,1
225,eicwgihgtp1,आत्मजात,2,1
226,eicwgihgtp1,आत्मनीन,3,1
227,eicwgihgtp1,आत्मप्रभव,2,1
228,eicwgihgtp1,आत्मभू,3,1
229,eicwgihgtp1,आत्मसंभव,4,0
230,eicwgihgtp1,आत्मसमुद्भव,2,1
231,eicwgihgtp1,आत्मसम्भव,4,0
232,eicwgihgtp1,आत्मोद्भव,2,1
233,eicwgihgtp1,आंदोलन,3,1
234,eicwgihgtp1,आधान,3,1
235,eicwgihgtp1,आधार,5,0
236,eicwgihgtp1,आन,4,0
237,eicwgihgtp1,आन्दोलन,2,1
238,eicwgihgtp1,आफिस,5,0
239,eicwgihgtp1,आम,5,0
240,eicwgihgtp1,आमूलचूल,2,1
241,eicwgihgtp1,आरोगिता,3,1
243,eicwgihgtp1,आरोग्यभवन,3,1
244,eicwgihgtp1,आरोग्यशाला,4,0
245,eicwgihgtp1,आलि,3,1
246,eicwgihgtp1,आली,4,0
249,eicwgihgtp1,आवटना,3,1
250,eicwgihgtp1,आवरण,5,0
252,eicwgihgtp1,आसना,4,0
253,eicwgihgtp1,आस्पद,3,1
254,eicwgihgtp1,इकंक,3,1
255,eicwgihgtp1,इकसूत,3,1
257,eicwgihgtp1,इकाई,3,1
258,eicwgihgtp1,इंगन,3,1
259,eicwgihgtp1,इङ्गन,2,1
260,eicwgihgtp1,इत्तला,3,1
261,eicwgihgtp1,इत्तिला,3,1
262,eicwgihgtp1,इफतरा,3,1
263,eicwgihgtp1,इफ़तरा,3,1
264,eicwgihgtp1,इफ्तरा,3,1
265,eicwgihgtp1,इफ़्तरा,2,1
266,eicwgihgtp1,इफ्तिरा,2,1
267,eicwgihgtp1,इफ़्तिरा,2,1
268,eicwgihgtp1,इब्न,2,1
269,eicwgihgtp1,इमदाद,3,1
270,eicwgihgtp1,इम्दाद,3,1
271,eicwgihgtp1,इल्म,2,1
273,eicwgihgtp1,इसीलिए,5,0
274,eicwgihgtp1,ईकाई,2,1
275,eicwgihgtp1,ईठि,2,1
276,eicwgihgtp1,उँकारी,3,1
277,eicwgihgtp1,उतार,3,1
278,eicwgihgtp1,उत्तरदायक,2,1
279,eicwgihgtp1,उत्तरदायी,3,1
282,eicwgihgtp1,एकदम,3,1
283,eicwgihgtp1,एकमेव,4,0
284,eicwgihgtp1,एडमिशन,2,1
285,eicwgihgtp1,ऐंठ,3,1
287,eicwgihgtp1,ऐंठन,3,1
288,eicwgihgtp1,ऐन,3,1
289,eicwgihgtp1,ऑफिस,2,1
290,eicwgihgtp1,कगार,3,1
291,eicwgihgtp1,कच्चा,4,0
292,eicwgihgtp1,कच्चे,4,0
293,eicwgihgtp1,कज,3,1
294,eicwgihgtp1,कंटेनर,4,0
295,eicwgihgtp1,कतई,3,1
296,eicwgihgtp1,कत्तई,3,1
297,eicwgihgtp1,कदापि,3,1
298,eicwgihgtp1,कन्टेनर,3,1
299,eicwgihgtp1,कभी,5,0
300,eicwgihgtp1,कमजोर,3,1
301,eicwgihgtp1,कमज़ोर,3,1
302,eicwgihgtp1,कमी,3,1
303,eicwgihgtp1,करपात्र,5,0
304,eicwgihgtp1,करीना,3,1
305,eicwgihgtp1,क़रीना,2,1
306,eicwgihgtp1,कलंक,3,1
307,eicwgihgtp1,कलौंछ,3,1
308,eicwgihgtp1,कलौंस,2,1
309,eicwgihgtp1,कल्क,3,1
310,eicwgihgtp1,कसर,4,0
311,eicwgihgtp1,काचा,3,1
312,eicwgihgtp1,काँचा,3,1
313,eicwgihgtp1,कानून,3,1
314,eicwgihgtp1,क़ानून,2,1
315,eicwgihgtp1,कानूनों,2,1
317,eicwgihgtp1,कायदा,3,1
319,eicwgihgtp1,क़ायदा,3,1
320,eicwgihgtp1,कायम,3,1
324,eicwgihgtp1,कार्यशैली,3,1
325,eicwgihgtp1,कार्यालय,5,0
326,eicwgihgtp1,कालांतर,3,1
327,eicwgihgtp1,कालिमा,3,1
328,eicwgihgtp1,किशोर,4,0
329,eicwgihgtp1,कुँअर,2,1
330,eicwgihgtp1,कुंचित,2,1
331,eicwgihgtp1,कुढ़ना,3,1
332,eicwgihgtp1,कुमक,3,1
333,eicwgihgtp1,कुमार,5,0
334,eicwgihgtp1,कुँवर,2,1
335,eicwgihgtp1,कुंवर,3,1
336,eicwgihgtp1,कूल,4,0
338,eicwgihgtp1,केतु,3,1
339,eicwgihgtp1,केवल,5,0
340,eicwgihgtp1,कोमलता,3,1
341,eicwgihgtp1,कोमलताई,3,1
342,eicwgihgtp1,कोश,3,1
343,eicwgihgtp1,कोश,4,0
344,eicwgihgtp1,कोष,4,0
345,eicwgihgtp1,कोष,5,0
346,eicwgihgtp1,कौतुक,2,1
347,eicwgihgtp1,क्रमागत,3,1
348,eicwgihgtp1,क्लिनिक,3,1
349,eicwgihgtp1,क्लीनिक,3,1
350,eicwgihgtp1,क्षति,3,1
351,eicwgihgtp1,खबर,5,0
352,eicwgihgtp1,ख़बर,3,1
353,eicwgihgtp1,खलबल,3,1
354,eicwgihgtp1,खलबली,3,1
355,eicwgihgtp1,खाक,4,0
356,eicwgihgtp1,ख़ाक,3,1
357,eicwgihgtp1,खाल,4,0
358,eicwgihgtp1,खाली,3,1
359,eicwgihgtp1,ख़ाली,3,1
360,eicwgihgtp1,खिजना,3,1
361,eicwgihgtp1,खिजलाना,3,1
362,eicwgihgtp1,खिझना,3,1
363,eicwgihgtp1,खिसियाना,2,1
364,eicwgihgtp1,खीजना,3,1
365,eicwgihgtp1,खीझना,2,1
366,eicwgihgtp1,खुदी,3,1
367,eicwgihgtp1,ख़ुदी,2,1
368,eicwgihgtp1,खोद,3,1
369,eicwgihgtp1,खोल,3,1
370,eicwgihgtp1,खोलकर,3,1
371,eicwgihgtp1,खोली,4,0
372,eicwgihgtp1,गडंग,3,1
373,eicwgihgtp1,गरिमापूर्ण,2,1
374,eicwgihgtp1,गरिमायुक्त,2,1
375,eicwgihgtp1,गरूर,3,1
376,eicwgihgtp1,ग़रूर,2,1
377,eicwgihgtp1,गर्द,3,1
378,eicwgihgtp1,गर्व,5,0
379,eicwgihgtp1,गारो,3,1
380,eicwgihgtp1,गिराव,2,1
381,eicwgihgtp1,गिरावट,3,1
382,eicwgihgtp1,गिलाफ,3,1
383,eicwgihgtp1,ग़िलाफ़,2,1
384,eicwgihgtp1,गुमान,3,1
385,eicwgihgtp1,गुरूर,2,1
386,eicwgihgtp1,ग़ुरूर,2,1
387,eicwgihgtp1,ग़ुलामी,3,1
388,eicwgihgtp1,गौरवपूर्ण,5,0
389,eicwgihgtp1,गौरवयुक्त,4,0
390,eicwgihgtp1,गौरवशाली,4,0
391,eicwgihgtp1,गौरवान्वित,2,1
392,eicwgihgtp1,घटती,3,1
393,eicwgihgtp1,घटाव,3,1
394,eicwgihgtp1,घटौती,2,1
395,eicwgihgtp1,घमंड,3,1
396,eicwgihgtp1,घमण्ड,3,1
397,eicwgihgtp1,घाटा,4,0
398,eicwgihgtp1,घुमावदार,2,1
399,eicwgihgtp1,चटकन,3,1
400,eicwgihgtp1,चटका,4,0
410,eicwgihgtp1,चन्द,4,0
411,eicwgihgtp1,चपत,3,1
412,eicwgihgtp1,चपेट,3,1
413,eicwgihgtp1,चपेटा,3,1
414,eicwgihgtp1,चमड़ा,3,1
415,eicwgihgtp1,चमड़ी,2,1
416,eicwgihgtp1,चरका,4,0
417,eicwgihgtp1,चर्म,4,0
418,eicwgihgtp1,चलते,5,0
419,eicwgihgtp1,चाँटा,2,1
420,eicwgihgtp1,चिकित्सालय,4,0
421,eicwgihgtp1,चित,3,1
422,eicwgihgtp1,चित्त,3,1
423,eicwgihgtp1,चिन्तनशील,2,1
424,eicwgihgtp1,चिर,4,0
425,eicwgihgtp1,चिरंजी,3,1
426,eicwgihgtp1,चिरंजीव,5,0
427,eicwgihgtp1,चुनाँचे,2,1
428,eicwgihgtp1,चुनांचे,3,1
429,eicwgihgtp1,छाती,4,0
430,eicwgihgtp1,छीज,4,0
431,eicwgihgtp1,छोर,5,0
432,eicwgihgtp1,जद,4,0
433,eicwgihgtp1,जरूर,5,0
434,eicwgihgtp1,जर्ण,4,0
435,eicwgihgtp1,जवाबदेह,2,1
436,eicwgihgtp1,जवाँमर्द,3,1
437,eicwgihgtp1,जवांमर्द,2,1
438,eicwgihgtp1,जहन,3,1
439,eicwgihgtp1,ज़हन,3,1
440,eicwgihgtp1,जाड़ा,3,1
441,eicwgihgtp1,जात,5,0
442,eicwgihgtp1,जानकारी,4,0
443,eicwgihgtp1,जाया,5,0
444,eicwgihgtp1,जिम्मादार,3,1
445,eicwgihgtp1,जिम्मेदार,2,1
446,eicwgihgtp1,ज़िम्मेदार,3,1
447,eicwgihgtp1,जिम्मेवार,2,1
448,eicwgihgtp1,ज़िम्मेवार,2,1
449,eicwgihgtp1,जिहन,3,1
450,eicwgihgtp1,ज़िहन,2,1
451,eicwgihgtp1,जी,5,0
452,eicwgihgtp1,जुकाम,3,1
453,eicwgihgtp1,ज़ुकाम,3,1
455,eicwgihgtp1,जेहन,3,1
456,eicwgihgtp1,ज़ेहन,2,1
457,eicwgihgtp1,ज्ञान,5,0
458,eicwgihgtp1,ज्ञानातीत,3,1
459,eicwgihgtp1,ज्ञापन,3,1
461,eicwgihgtp1,झापड़,3,1
462,eicwgihgtp1,झाँपड़,2,1
463,eicwgihgtp1,झिलम,3,1
464,eicwgihgtp1,झुँझला,2,1
465,eicwgihgtp1,झुँझलाना,2,1
466,eicwgihgtp1,टान,3,1
467,eicwgihgtp1,टूट,3,1
468,eicwgihgtp1,टूटना,3,1
469,eicwgihgtp1,टूटने,3,1
470,eicwgihgtp1,टेक्निकल,2,1
474,eicwgihgtp1,टेढ़ा,2,1
475,eicwgihgtp1,टेंशन,3,1
476,eicwgihgtp1,टोटा,3,1
477,eicwgihgtp1,ठंड,4,0
478,eicwgihgtp1,ठंडक,3,1
479,eicwgihgtp1,ठंडी,3,1
480,eicwgihgtp1,ठंढ,2,1
481,eicwgihgtp1,ठंढक,2,1
482,eicwgihgtp1,ठंढी,4,0
483,eicwgihgtp1,ठन्ड,3,1
484,eicwgihgtp1,ठसक,3,1
486,eicwgihgtp1,ठहराया,3,1
487,eicwgihgtp1,ठिठरना,2,1
488,eicwgihgtp1,ठिठुरे,1,1
489,eicwgihgtp1,ठीक,3,1
490,eicwgihgtp1,ठीक,4,0
491,eicwgihgtp1,डब्बा,4,0
492,eicwgihgtp1,डिब्बा,2,1
493,eicwgihgtp1,ढंग,3,1
494,eicwgihgtp1,ढब,3,1
495,eicwgihgtp1,ढर्रा,2,1
496,eicwgihgtp1,ढलना,4,0
497,eicwgihgtp1,त,5,0
500,eicwgihgtp1,तकनीकी,3,1
501,eicwgihgtp1,तकनीकी,2,1
502,eicwgihgtp1,तकसीम,3,1
503,eicwgihgtp1,तक़सीम,2,1
504,eicwgihgtp1,तक्सीम,2,1
505,eicwgihgtp1,तट,5,0
506,eicwgihgtp1,तड़ी,3,1
507,eicwgihgtp1,तंदरुस्ती,2,1
508,eicwgihgtp1,तनय,5,0
509,eicwgihgtp1,तनाव,3,1
510,eicwgihgtp1,तनुज,3,1
511,eicwgihgtp1,तनुभव,3,1
512,eicwgihgtp1,तनुरुह,2,1
513,eicwgihgtp1,तनू,3,1
514,eicwgihgtp1,तनूज,4,0
515,eicwgihgtp1,तनूद्भव,1,1
516,eicwgihgtp1,तनूरुह,3,1
517,eicwgihgtp1,तने,3,1
518,eicwgihgtp1,तनोज,3,1
519,eicwgihgtp1,तनौज,3,1
520,eicwgihgtp1,तबियत,2,1
521,eicwgihgtp1,तबीयत,2,1
522,eicwgihgtp1,तमाचा,3,1
523,eicwgihgtp1,तय,3,1
524,eicwgihgtp1,तयशुदा,2,1
525,eicwgihgtp1,तरीका,3,1
526,eicwgihgtp1,तरीक़ा,2,1
527,eicwgihgtp1,तरु,3,1
528,eicwgihgtp1,तरुवर,2,1
529,eicwgihgtp1,तर्ज,3,1
530,eicwgihgtp1,तान,3,1
531,eicwgihgtp1,ताबदार,3,1
532,eicwgihgtp1,तीर,4,0
533,eicwgihgtp1,तुषारकाल,2,1
534,eicwgihgtp1,तौर,3,1
535,eicwgihgtp1,त्यौहार,2,1
536,eicwgihgtp1,त्वचा,4,0
537,eicwgihgtp1,थपेड़ा,3,1
538,eicwgihgtp1,थप्पड़,2,1
539,eicwgihgtp1,दफ़्तर,2,1
540,eicwgihgtp1,दंभ,3,1
541,eicwgihgtp1,दम्भ,3,1
542,eicwgihgtp1,दरख्त,4,0
543,eicwgihgtp1,दरख़्त,3,1
544,eicwgihgtp1,दर्प,3,1
545,eicwgihgtp1,दवाखाना,4,0
546,eicwgihgtp1,दवाख़ाना,3,1
547,eicwgihgtp1,दाग,3,1
548,eicwgihgtp1,दाग़,3,1
549,eicwgihgtp1,दागने,3,1
550,eicwgihgtp1,दादा,5,0
551,eicwgihgtp1,दाप,3,1
552,eicwgihgtp1,दायदवत्,3,1
553,eicwgihgtp1,दासता,3,1
554,eicwgihgtp1,दासत्व,3,1
555,eicwgihgtp1,दास्य,3,1
556,eicwgihgtp1,दिल,5,0
557,eicwgihgtp1,दिलावर,5,0
559,eicwgihgtp1,देर,4,0
560,eicwgihgtp1,देरी,3,1
561,eicwgihgtp1,दोना,4,0
562,eicwgihgtp1,दोहर,3,1
563,eicwgihgtp1,दौना,4,0
564,eicwgihgtp1,द्रुम,3,1
565,eicwgihgtp1,द्रोण,4,0
566,eicwgihgtp1,धब्बा,2,1
567,eicwgihgtp1,नख्ल,2,1
568,eicwgihgtp1,नजला,3,1
569,eicwgihgtp1,नज़ला,3,1
570,eicwgihgtp1,नंदन,4,0
571,eicwgihgtp1,नन्दन,4,0
572,eicwgihgtp1,नम्रता,4,0
573,eicwgihgtp1,नया,5,0
575,eicwgihgtp1,नरमाई,3,1
576,eicwgihgtp1,नरमाहट,3,1
577,eicwgihgtp1,नरमी,3,1
578,eicwgihgtp1,नरमीयत,3,1
579,eicwgihgtp1,नरवीर,5,0
580,eicwgihgtp1,नर्माहट,2,1
581,eicwgihgtp1,नर्मी,2,1
583,eicwgihgtp1,नवसिखा,3,1
584,eicwgihgtp1,नवसिखुआ,2,1
585,eicwgihgtp1,नाजुक,3,1
586,eicwgihgtp1,नाज़ुक,3,1
587,eicwgihgtp1,नामजदगी,2,1
588,eicwgihgtp1,नामज़दगी,2,1
589,eicwgihgtp1,नामांकन,3,1
590,eicwgihgtp1,नामाङ्कन,1,1
591,eicwgihgtp1,निगोड़ा,2,1
592,eicwgihgtp1,नितांत,3,1
593,eicwgihgtp1,नितान्त,3,1
594,eicwgihgtp1,निदानगृह,3,1
595,eicwgihgtp1,निदानिका,3,1
596,eicwgihgtp1,निपट,3,1
599,eicwgihgtp1,निपटा,3,1
600,eicwgihgtp1,नियमित,4,0
601,eicwgihgtp1,नियोजित,3,1
602,eicwgihgtp1,निर्णित,4,0
603,eicwgihgtp1,निर्णीत,4,0
604,eicwgihgtp1,निर्दिष्ट,3,1
605,eicwgihgtp1,निर्धारित,3,1
606,eicwgihgtp1,निर्मोक,2,1
607,eicwgihgtp1,निशान,4,0
608,eicwgihgtp1,निशुल्क,2,1
609,eicwgihgtp1,निःशुल्क,1,1
610,eicwgihgtp1,निश्चित,2,1
611,eicwgihgtp1,निश्चिततः,2,1
612,eicwgihgtp1,निश्शुल्क,1,1
613,eicwgihgtp1,निसंदेह,5,0
614,eicwgihgtp1,निःसंदेह,3,1
615,eicwgihgtp1,निसन्देह,4,0
616,eicwgihgtp1,निःसन्देह,3,1
617,eicwgihgtp1,निस्संदेह,4,0
618,eicwgihgtp1,निस्सन्देह,3,1
619,eicwgihgtp1,निहित,3,1
620,eicwgihgtp1,नीमटर,3,1
621,eicwgihgtp1,नुकसान,3,1
622,eicwgihgtp1,नुक़सान,2,1
623,eicwgihgtp1,नृपात्मज,2,1
624,eicwgihgtp1,नोटिस,4,0
625,eicwgihgtp1,नौसिख,3,1
626,eicwgihgtp1,नौसिखिया,3,1
627,eicwgihgtp1,नौसिखुआ,2,1
628,eicwgihgtp1,न्यय,5,0
629,eicwgihgtp1,न्यू,3,1
630,eicwgihgtp1,न्यूनता,2,1
631,eicwgihgtp1,पंजीयन,3,1
632,eicwgihgtp1,पञ्जीकरण,2,1
633,eicwgihgtp1,पञ्जीयन,2,1
634,eicwgihgtp1,पता,5,0
635,eicwgihgtp1,पत्रपुट,3,1
636,eicwgihgtp1,पदच्युत,2,1
637,eicwgihgtp1,पद्धति,2,1
638,eicwgihgtp1,परतंत्रता,3,1
639,eicwgihgtp1,पराधीनता,3,1
640,eicwgihgtp1,पर्व,5,0
641,eicwgihgtp1,पर्वरीण,3,1
642,eicwgihgtp1,पल्लवी,4,0
643,eicwgihgtp1,पश्ता,3,1
644,eicwgihgtp1,पात्र,5,0
645,eicwgihgtp1,पादप,3,1
646,eicwgihgtp1,पालि,3,1
647,eicwgihgtp1,पित्र्य,2,1
648,eicwgihgtp1,पीछे,3,1
649,eicwgihgtp1,पीनस,3,1
650,eicwgihgtp1,पुटी,4,0
651,eicwgihgtp1,पुत्र,5,0
652,eicwgihgtp1,पुलाकी,3,1
653,eicwgihgtp1,पूत,4,0
656,eicwgihgtp1,पूर्णतः,3,1
657,eicwgihgtp1,पूर्णतया,2,1
658,eicwgihgtp1,पूर्णरुपेण,3,1
659,eicwgihgtp1,पूर्वज,3,1
660,eicwgihgtp1,पेट,3,1
661,eicwgihgtp1,पेड़,5,0
662,eicwgihgtp1,प्रतिकुंचित,1,1
663,eicwgihgtp1,प्रतिकुञ्चित,1,1
664,eicwgihgtp1,प्रतिबंधक,4,0
665,eicwgihgtp1,प्रतिबन्धक,4,0
666,eicwgihgtp1,प्रयोजनतः,3,1
667,eicwgihgtp1,प्रवृत्त,3,1
668,eicwgihgtp1,प्रहाणि,3,1
669,eicwgihgtp1,प्रागल्भ्य,2,1
670,eicwgihgtp1,फरज़ंद,3,1
671,eicwgihgtp1,फरजंद,3,1
672,eicwgihgtp1,फरजन्द,3,1
673,eicwgihgtp1,फरज़न्द,2,1
674,eicwgihgtp1,फरजिंद,3,1
